Individual Goals,Age,Gender,Risk Tolerance,Financial Literacy,Recommended Investment Products
saving for education,21,Female,Low,5,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for education,61,Female,Low,5,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
planning a vacation,72,Male,Medium,2,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
purchasing for self,8,Male,Low,1,"Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold, Mutual Funds"
buying a house,28,Female,Medium,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,14,Male,Low,1,"Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans, Stocks"
starting a business,50,Female,Medium,3,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
purchasing for self,32,Male,High,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,55,Male,High,5,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
buying a house,6,Female,Low,5,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks"
planning a vacation,15,Female,Low,3,"Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks"
purchasing for self,15,Female,High,3,"Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold, Mutual Funds"
saving for retirement,14,Female,High,1,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
starting a business,22,Female,Medium,2,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
buying a house,66,Female,High,4,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for retirement,17,Male,High,4,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
purchasing for self,47,Male,Low,1,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for retirement,18,Male,Low,4,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
saving for education,8,Female,Low,4,"Sukanya Samriddhi Yojana, Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans"
buying a house,22,Male,Medium,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,73,Male,Medium,4,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for education,15,Female,Low,4,"Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans, Stocks"
purchasing for self,60,Male,High,2,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for retirement,45,Male,Low,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,26,Male,Low,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,15,Female,Low,3,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
starting a business,68,Male,Low,3,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
planning a vacation,10,Male,Medium,4,"Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks"
saving for education,47,Female,Low,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
purchasing for self,46,Female,Low,5,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
purchasing for self,47,Female,Medium,3,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for education,69,Male,Medium,4,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for education,46,Male,Medium,5,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
purchasing for self,26,Female,Medium,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,45,Female,High,2,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for retirement,7,Male,High,1,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
buying a house,3,Male,Medium,2,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
buying a house,25,Female,Medium,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,65,Female,Low,1,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
saving for education,28,Male,Low,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
starting a business,79,Male,Low,5,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for education,71,Male,Low,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for retirement,48,Female,Low,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,71,Male,Medium,1,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
planning a vacation,6,Male,Medium,2,"Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks"
starting a business,34,Female,High,4,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for education,37,Female,High,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
purchasing for self,17,Female,Medium,4,"Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold, Mutual Funds"
saving for education,63,Male,High,1,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
planning a vacation,22,Male,Low,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,36,Female,Low,5,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
starting a business,18,Male,Medium,1,"Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans, Stocks"
purchasing for self,73,Male,High,1,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
purchasing for self,5,Male,High,2,"Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold, Mutual Funds"
buying a house,7,Male,Medium,3,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for retirement,22,Female,Medium,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,17,Female,High,2,"Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks"
purchasing for self,40,Female,Low,2,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for education,62,Male,Medium,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
starting a business,32,Female,Medium,4,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
purchasing for self,48,Female,High,4,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
buying a house,28,Male,High,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,25,Female,Low,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
buying a house,29,Female,Low,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,28,Female,High,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,62,Male,Medium,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
purchasing for self,73,Male,Low,1,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for retirement,73,Male,Medium,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,74,Female,High,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,21,Male,Low,5,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
planning a vacation,22,Female,Medium,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,4,Female,Low,5,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks"
planning a vacation,54,Male,High,4,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
buying a house,12,Male,Medium,2,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for retirement,65,Male,Medium,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,12,Female,Low,4,"Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold, Mutual Funds"
planning a vacation,20,Female,Medium,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,13,Male,Medium,5,"Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans, Stocks"
planning a vacation,26,Male,Medium,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,65,Female,High,5,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
buying a house,5,Female,Low,3,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks"
purchasing for self,46,Female,High,4,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for education,74,Female,Medium,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
purchasing for self,35,Female,High,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,25,Male,Low,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,47,Female,Medium,5,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
purchasing for self,0,Male,High,5,"Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold, Mutual Funds"
planning a vacation,21,Male,Medium,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,7,Female,Medium,2,"Sukanya Samriddhi Yojana, Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans"
planning a vacation,2,Male,Medium,4,"Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks"
saving for retirement,4,Female,Low,1,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Mutual Funds, PPF, NPS"
saving for education,56,Female,Low,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
purchasing for self,34,Female,High,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,54,Male,Medium,4,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for retirement,22,Male,Low,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,79,Female,High,3,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
planning a vacation,21,Female,High,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,2,Female,Low,5,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans"
starting a business,79,Male,Medium,1,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for education,52,Male,High,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
purchasing for self,23,Male,High,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,45,Female,High,4,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
planning a vacation,61,Male,High,4,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
starting a business,18,Female,Low,3,"Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans, Stocks"
purchasing for self,27,Female,High,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,9,Female,Medium,5,"Sukanya Samriddhi Yojana, Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans"
buying a house,69,Male,Medium,2,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
purchasing for self,23,Male,High,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,71,Female,Medium,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for retirement,30,Male,High,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,9,Female,Medium,2,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold"
purchasing for self,20,Female,Medium,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,80,Male,Medium,5,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
starting a business,17,Male,Low,4,"Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans, Stocks"
saving for education,44,Male,Low,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
buying a house,17,Female,Medium,2,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for education,41,Female,High,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
buying a house,9,Female,Medium,4,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks"
buying a house,23,Male,Medium,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,77,Male,Medium,4,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
starting a business,71,Male,Low,1,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
purchasing for self,26,Female,High,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,19,Male,Medium,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,67,Male,Low,4,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
buying a house,56,Female,High,5,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
planning a vacation,8,Male,Low,2,"Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks"
purchasing for self,46,Female,Low,4,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
buying a house,72,Female,Medium,1,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
purchasing for self,2,Male,High,4,"Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold, Mutual Funds"
planning a vacation,5,Female,Medium,1,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account"
buying a house,14,Female,Medium,4,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
starting a business,33,Female,Medium,1,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
starting a business,68,Female,Low,2,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
buying a house,65,Male,Medium,2,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for education,51,Male,Medium,4,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
planning a vacation,43,Female,High,2,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
planning a vacation,3,Female,Medium,4,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account"
purchasing for self,52,Female,High,2,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
starting a business,4,Female,Low,1,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans"
planning a vacation,26,Male,Medium,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,30,Male,Low,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,36,Male,High,5,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for retirement,46,Female,Low,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,73,Female,Low,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,7,Female,Medium,4,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans"
starting a business,28,Male,Low,1,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
planning a vacation,14,Male,Medium,1,"Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks"
saving for retirement,57,Male,High,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,31,Female,High,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,40,Male,Low,2,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
buying a house,65,Female,High,4,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
starting a business,21,Male,High,3,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
purchasing for self,31,Male,Medium,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,6,Male,High,2,"Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans, Stocks"
saving for retirement,28,Female,Medium,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,28,Female,Low,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,17,Female,Medium,3,"Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans, Stocks"
buying a house,39,Male,High,4,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for retirement,16,Female,Low,4,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
planning a vacation,58,Male,High,5,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
purchasing for self,1,Female,Low,4,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold"
saving for retirement,53,Male,Medium,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,69,Male,Medium,4,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for education,55,Male,Medium,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
planning a vacation,56,Female,Medium,3,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
saving for retirement,36,Female,High,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,31,Male,Low,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
purchasing for self,65,Female,High,5,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for education,18,Male,Medium,4,"Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans, Stocks"
saving for education,30,Female,High,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
buying a house,14,Male,High,3,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for education,32,Male,Medium,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for education,11,Female,High,5,"Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans, Stocks"
starting a business,78,Female,Low,3,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for education,15,Female,Medium,5,"Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans, Stocks"
purchasing for self,7,Female,Medium,4,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold"
starting a business,71,Male,Low,1,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for education,74,Female,Low,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for retirement,62,Male,Low,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,33,Female,High,1,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for education,18,Female,Medium,2,"Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans, Stocks"
planning a vacation,42,Female,Low,4,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
saving for education,27,Female,Low,4,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
planning a vacation,24,Female,Low,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,69,Male,High,4,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
starting a business,67,Male,Medium,1,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
buying a house,29,Male,High,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,30,Female,Medium,5,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for education,34,Female,Low,4,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for retirement,26,Female,Low,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,67,Male,Low,1,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
purchasing for self,23,Female,High,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,72,Female,Medium,4,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
buying a house,24,Female,Medium,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,6,Female,Low,1,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold"
purchasing for self,74,Female,High,1,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
starting a business,43,Male,Low,3,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
buying a house,52,Male,Medium,1,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for education,45,Male,Medium,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
buying a house,79,Female,Medium,5,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
starting a business,18,Female,High,5,"Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans, Stocks"
saving for education,3,Female,Medium,2,"Sukanya Samriddhi Yojana, Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans"
purchasing for self,63,Female,High,1,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for retirement,58,Male,High,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,63,Male,Medium,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for retirement,39,Male,High,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,5,Female,Medium,5,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account"
saving for retirement,47,Male,Low,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,22,Female,Low,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for retirement,51,Male,Medium,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,49,Male,Low,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,73,Male,Medium,5,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
starting a business,12,Male,High,5,"Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans, Stocks"
saving for education,32,Male,Medium,5,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for education,79,Male,High,5,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
purchasing for self,32,Female,Medium,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,35,Female,Medium,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,60,Female,Medium,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,62,Male,Medium,5,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for retirement,44,Male,Low,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,51,Female,High,1,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for retirement,56,Female,High,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,8,Male,Low,3,"Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks"
saving for retirement,49,Female,High,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,48,Female,Low,4,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for education,55,Male,Medium,5,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
starting a business,22,Male,Medium,1,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
buying a house,62,Male,High,3,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
buying a house,57,Female,Low,3,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for education,34,Female,High,1,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
buying a house,55,Male,High,1,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
purchasing for self,41,Male,Medium,4,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
purchasing for self,64,Female,Medium,5,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for education,43,Male,Medium,5,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
buying a house,11,Male,High,3,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
buying a house,8,Female,Medium,4,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks"
planning a vacation,23,Female,Low,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,56,Male,High,3,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
saving for retirement,56,Male,High,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,55,Female,Low,5,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for education,8,Male,High,5,"Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans, Stocks"
saving for education,21,Female,High,4,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
buying a house,76,Male,Medium,5,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for retirement,43,Male,Medium,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,9,Male,Low,1,"Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans, Stocks"
purchasing for self,75,Female,Low,5,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
planning a vacation,33,Male,High,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,45,Female,Low,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,51,Female,Low,2,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for retirement,71,Female,Medium,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,29,Female,High,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,66,Female,Low,5,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for retirement,42,Male,Medium,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,37,Female,Low,5,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
buying a house,70,Male,High,5,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for retirement,20,Male,Low,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,49,Female,High,3,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
purchasing for self,38,Female,High,3,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
